CIDADE,UF,ENTIDADE,ENDEREÇO,CONTATO,TIPO,,,TIPOS,
São Paulo,SP,Smartfit ITAQUERA1,"Av Professor Edgar Santos, 850 - Vila Nhocune",,Musculação,1,,,
São Paulo,SP,Smartfit JAGUARÉ,"Av Corifeu de Azevedo Marques, 4160 - Vila Lageado",,Musculação,1,,,
São Paulo,SP,Smartfit JARDINS4,"R Oscar Freire, 218 - Cerqueira Cesar",,Musculação,1,,,
São Paulo,SP,Smartfit MOEMA,"R Gaivota, 530 - Indianopolis",,Musculação,1,,,
São Paulo,SP,Smartfit SANTA CECÍLIA,"Alameda Barros, 59 - Santa Cecília",,Musculação,1,,,
São Paulo,SP,Smartfit SOCORRO,"Av Guarapiranga, 762 - Guarapiranga",,Musculação,1,,,
São Paulo,SP,Smartfit VILA OLÍMPIA1,"R Ramos Batista, 239 - Vila Olímpia",,Musculação,1,,,
São Paulo,SP,Sport Clube Corinthians Paulista,"R São Jorge, 777",(11) 6942-9633,Clube de Remo,1,,,
São Paulo,SP,Team Nogueira Perdizes,"R Ministro Ferreira Alves, 1030 - Perdizes",(11) 3862-3282,Musculação,1,,,
São Sebastião,SP,Clínica Saúde na Praia,"R Itaúna, 37 - Praia de Boiçucanga",(12) 3865-1837   (12) 9735-9558,Musculação,1,,,
Sorocaba,SP,Academia K@2 - SOROCABA,"Av Izoraida Marques Peres, 401 - Altos do Campolim ",(15) 3233-9242,aula coletiva,1,,,
Sorocaba,SP,Smartfit SOROCABA4,"Av Comendador Pereira Inácio, 820 - Jardim Vergueiro",,Musculação,1,,,
