CIDADE,UF,ENTIDADE,ENDEREÇO,CONTATO,TIPO,,,TIPOS,
Campo Grande,MS,Academia Nível 1,"R João Akamine, 701 - Santa Fé",(67) 3043-7200,Musculação,1,,,
Campo Grande,MS,Smartfit CAMPO GRANDE2,"Av Presidente Ernesto Geisel, 2300 (shopping NorteSul Plaza) - Jd Joquei Club",,Musculação,1,,,
Campo Grande,MS,Smartfit ITANHANGÁ,"Rua Joaquim Murtinho, 2293C - Itanhangá Park",(67) 3357-2600,Musculação,1,,,
Varzea Grande,MT,Smartfit VARZEA GRANDE,Rua Presidente Arthur Bernades - Jardim Aeroporto (Várzea Grande Shopping),,Musculação,1,,,
Belém,PA,Bio Ritmo BELÉM,"R Boa Ventura da Silva, 1612",,Musculação,1,,,
Belém,PA,Clube do Remo ,"Av Nazaré, 962",(91) 3083-7999,Clube de Remo,1,,,
Belém,PA,Paysandu Esporte Clube,"Av Nazaré, 404",(91) 3222-3763,Clube de Remo,1,,,
Belém,PA,Tuna Luzo Brasileira,"Av Almirante Barrozo, 4.110",(91) 3219-2805,Musculação,1,,,
João Pessoa,PB,Box10 Crossfit Bessa,"R Hortência Helena de Amorim Brito, 13008/ Salão 10 - Casa Center",(83) 3268-5098,CrossFit,1,,,
João Pessoa,PB,Redzone Academia,"R Vicente de Paula Chianca, 140 - Portal do Sol",(83) 3238-0254,CrossFit,1,,,
Recife,PE,CrossFit Manguetown,"R Dona Olegarinha, 97 - Santana",(81) 3097-3665,CrossFit,1,,,
Recife,PE,Smartfit BOA VIAGEM3,"R Ernesto de Paula Santos, 187 - Boa Viagem",,Musculação,1,,,
Recife,PE,Sport Club do Recife - Dpto. Remo,"Av Beira Rio, 200 - Ilha do Retiro",(81) 8827-8549         (81) 8745-7434,Clube de Remo,1,,,
Recife,PE,Tribo Fitness,"R Professor Severiano Tolentino, 415- Jaboatão dos Guararapes",(81) 3203-5481,CrossFit,1,,,
Teresina,PI,Crossfit Terminal 1,"Rua Teresinha Farias, 2265 esquina com Rua Tomaz Tajra - Ininga",(86) 9426-0791,CrossFit,1,,,
Curitiba,PR,Academia Be Happy,"R Bento Viana, 609 - Agua Verde",(41) 3016-5757,Musculação,1,,,
Curitiba,PR,Clube Curitibano,"Av Getulio Vargas, 2857 - Sede Barão do Serro Azul",(41) 3014-1919,Clube de Remo,1,,,
Curitiba,PR,Crossfit Kaluanã,"Av Brigadeiro Franco, 3746 - Loja 6",(41) 3053-6782,CrossFit,1,,,
